Team,Date,Count
DelhiDaredevils,2017-04-22,229
KingsXIPunjab,2017-04-22,27
KolkataKnightRiders,2017-04-22,66
MumbaiIndians,2017-04-22,1044
RoyalChallengersBangalore,2017-04-22,12
SunrisersHyderabad,2017-04-22,249
PuneSupergiants,2017-04-22,124
DelhiDaredevils,2017-04-23,2029
KingsXIPunjab,2017-04-23,158
KolkataKnightRiders,2017-04-23,643
MumbaiIndians,2017-04-23,493
RoyalChallengersBangalore,2017-04-23,269
SunrisersHyderabad,2017-04-23,50
PuneSupergiants,2017-04-23,21
GujratLions,2017-04-23,31
DelhiDaredevils,2017-04-25,774
KingsXIPunjab,2017-04-25,7
KolkataKnightRiders,2017-04-25,61
MumbaiIndians,2017-04-25,489
RoyalChallengersBangalore,2017-04-25,468
SunrisersHyderabad,2017-04-25,75
PuneSupergiants,2017-04-25,192
GujratLions,2017-04-25,105
DelhiDaredevils,2017-04-26,411
KingsXIPunjab,2017-04-26,11
KolkataKnightRiders,2017-04-26,446
MumbaiIndians,2017-04-26,253
RoyalChallengersBangalore,2017-04-26,159
SunrisersHyderabad,2017-04-26,13
PuneSupergiants,2017-04-26,464
GujratLions,2017-04-26,51
DelhiDaredevils,2017-04-28,1063
KingsXIPunjab,2017-04-28,121
KolkataKnightRiders,2017-04-28,915
MumbaiIndians,2017-04-28,128
RoyalChallengersBangalore,2017-04-28,2
SunrisersHyderabad,2017-04-28,239
PuneSupergiants,2017-04-28,54
GujratLions,2017-04-28,27
